artist_mbid,artist_name,artist_key
,Vulgo FK,vulgo fk
870549f3-6266-496f-a019-5762aadb713c,Adam Port,adam port
e611313a-b5f6-42a6-90b0-00a1e0bf882c,Salvia Palth,salvia palth
6f1de078-6684-4792-820d-2ffad64c15ed,Two Door Cinema Club,two door cinema club
,Bob Sinclar,bob sinclar
,Mc Paiva ZS,mc paiva zs
,Loe Shimmy,loe shimmy
8ab5d936-49d1-415e-92c8-151e0e7dd912,A$AP Ferg,a$ap ferg
6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,M83,m83
,noevdv,noevdv
,Mc Negão Original,mc negão original
,Mc Rodrigo do CN,mc rodrigo do cn
,MC ANJIM,mc anjim
,MC DB,mc db
,Clayton Santiago,clayton santiago
0b619a94-481c-40ac-abae-85f33f2b1588,Eyedress,eyedress
a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,Twenty One Pilots,twenty one pilots
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,metallica
,Nilo,nilo
f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,linkin park
bc710bcf-8815-42cf-bad2-3f1d12246aeb,Nickelback,nickelback
fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,Three Days Grace,three days grace
9ccaca30-60aa-4890-ae6c-ab55225ee274,Lucki,lucki
9757ae7d-44b1-4d63-81ce-b463fe27b9ae,Joey Bada$$,joey bada$$
d44b92db-dd49-4636-abe8-7c381f90b7aa,Lil Tjay,lil tjay
37b2cb82-ef79-4d46-a184-a549450aa231,21 Savage,21 savage
3a75e7af-4b3c-4517-bcb2-b13588e2f60f,mokumoku,mokumoku
eec43ebc-815a-4105-b1cb-205b8f57b4fa,The Beautiful South,the beautiful south
dc84c3f5-a44c-4a46-bf41-fd1640e3c99d,Djo,djo
ad10c69c-0cae-4c27-934d-a02e4ecc9985,Cafuné,cafuné
2ddd167f-5b8a-4372-b350-6ad50493bac0,The Fray,the fray
5838185a-0ee6-4a0b-8d4e-76a6e15f7d4b,Zoé,zoé
,MC Meno K,mc meno k
deb485f6-8356-4fd6-bbd5-f72b3606d8a6,Kairo Keyz,kairo keyz
e0e1a584-dd0a-4bd1-88d1-c4c62895039d,Foster the People,foster the people
,MC KAKO,mc kako
,MC Luan da BS,mc luan da bs
,DJ VINI DA ZO,dj vini da zo
8444766a-cced-4a94-abcc-baf67ea97b03,MC L da vinte,mc l da vinte
,DJ WS DA IGREJINHA,dj ws da igrejinha
,Dj Faisca,dj faisca
,Mc Kaio,mc kaio
9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,The Who,the who
,Gravagerz,gravagerz
bca63b5d-a28c-4937-a8f4-e3f2d95426e1,Masego,masego
edf81f9b-d3f0-4d57-9636-d08e851b1640,Bazzi,bazzi
,Mc IG,mc ig
,Ana Castela,ana castela
,Giveon,giveon
1a663c61-8b39-4fcd-bb12-bf8bc07d818b,Zé Neto & Cristiano,zé neto & cristiano
,LaVern,lavern
320ceeb4-a285-4d64-a41d-2de86c4505cc,Spada,spada
47e10b14-4b74-4650-bc2b-34424c1c6bcb,Odeal,odeal
,Zayn,zayn
401c3991-b76b-499d-8082-9f2df958ef78,Phil Collins,phil collins
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,u2
efc5d365-a448-4e2f-9b5f-4a7c84be725c,Wizkid,wizkid
2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,Hoobastank,hoobastank
,Essiyas,essiyas
4010c5d1-d394-46ce-bbaf-61f28d7062c3,Palastic,palastic
eead7215-59da-45f5-b719-62f349ef4133,Hugel,hugel
1692d331-89cb-4ede-9f3b-ac7544d782df,Gordo,gordo
,jend,jend
17978ff5-140c-43b7-85c6-d602a88af6c4,Vintage Culture,vintage culture
,MC Tairon,mc tairon
,DJ GBR,dj gbr
,DJ Matt D,dj matt d
9f846b2d-aba1-427c-a3d6-8d784286fa48,Lambo4oe,lambo4oe
,Kerri Chandler,kerri chandler
,Ash,ash
ea10b166-ba8d-460a-9080-d53bc90a9c2f,Gibran Alcocer,gibran alcocer
ac9a487a-d9d2-4f27-bb23-0f4686488345,Lil Wayne,lil wayne
,Abel Takan,abel takan
2690d68d-845f-4f99-8ecb-fc5f930786d4,Tyde,tyde
2708ce78-2e3b-4ca8-a80c-d465926f92df,Kyle Watson,kyle watson
,Sian Evans,sian evans
b504f625-4ef6-4a5a-81e8-870a61e8dc9c,Ja Rule,ja rule
db76c5ca-d555-4f09-b1db-baa1b713d875,Mary J. Blige,mary j. blige
a796b92e-c137-4895-9c89-10f900617a4f,Destiny's Child,destiny's child
3414d446-735a-443c-931f-10634f57e5b9,Usher,usher
,Mario Winans,mario winans
f86ad12e-d8f2-4505-84a9-3c82fb3291ff,Dashdot,dashdot
,Dezko,dezko
,ItsArius,itsarius
